Campaign,Ad Group,Keyword,Match Type,Status
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,smoke shop bronx,Exact,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,weed delivery 10458,Exact,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,licensed dispensary bronx,Exact,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,cannabis store 10458,Exact,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,bronx cannabis shop,Exact,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,smoke shop near me,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,where to buy weed bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,fordham cannabis store,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,best cannabis bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,weed dispensary 10458,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,cannabis delivery service,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,buy weed in bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,legal cannabis bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,bronx dispensary open,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,flower shop bronx cannabis,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,vape shop cannabis bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,cannabis deals bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,synthetic,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,k2,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,spice,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,free weed,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,cbd only,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,jobs,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,wholesale,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,medical card,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,grow kits,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,seeds,Negative phrase,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,smoke shop bronx,Exact,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,weed delivery 10458,Exact,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,licensed dispensary bronx,Exact,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,cannabis store 10458,Exact,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,bronx cannabis shop,Exact,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,smoke shop near me,Phrase,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,where to buy weed bronx,Phrase,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,fordham cannabis store,Phrase,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,best cannabis bronx,Phrase,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,weed dispensary 10458,Phrase,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,cannabis delivery service,Phrase,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,buy weed in bronx,Phrase,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,legal cannabis bronx,Phrase,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,bronx dispensary open,Phrase,Enabled
