Campaign,Ad Group,Keyword,Match Type,Status
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,smoke shop bronx,Exact,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,cannabis dispensary 10458,Exact,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,weed delivery 10458,Exact,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,licensed dispensary bronx,Exact,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,herb store bronx,Exact,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,smoke shop near me,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,where to buy weed bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,fordham cannabis store,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,belmont cannabis shop,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,best cannabis bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,legal weed 10458,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,cannabis store in bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,weed shop near fordham,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,buy cannabis flower bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,bronx cannabis deals,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,dispensary open late bronx,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,cannabis delivery 10458,Phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,synthetic,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,k2,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,spice,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,free weed,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,cbd only,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,jobs,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,wholesale,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,medical card,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,grow kits,Negative phrase,Enabled
BronxSmokShopCon-01,BronxSmokShopCon-01 - 10458 conquest,seeds,Negative phrase,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,smoke shop bronx,Exact,Enabled
BronxSmokShopCon-02,BronxSmokShopCon-02 - 10458 conquest,cannabis dispensary 10458,Exact,Enabled
